Article,Line,Type,Suggested action,Snippet
vodcast/episodes/lifestyle-journalist-leigh-campbell-on-loss-love-and-adult-adhd/lifestyle-journalist-leigh-campbell-on-loss-love-and-adult-adhd.mdx,55,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,With thanks to our sponsors Qure Skincare we are offering five lucky subscribers a chance to win one of their  Qure Q-Re
vodcast/episodes/dr-sarah-jane-on-trauma-transformation-and-trusting-the-body/dr-sarah-jane-on-trauma-transformation-and-trusting-the-body.mdx,65,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Natural Hand Sanitiser: https://www.woolworths.com.au/shop/productdetails/306677
vodcast/episodes/dr-sarah-jane-on-trauma-transformation-and-trusting-the-body/dr-sarah-jane-on-trauma-transformation-and-trusting-the-body.mdx,67,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,LMNT Electrolytes: https://amzn.asia/d/0bUT24fm
vodcast/episodes/dr-sarah-jane-on-trauma-transformation-and-trusting-the-body/dr-sarah-jane-on-trauma-transformation-and-trusting-the-body.mdx,69,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Metagenics Parex: https://www.metagenics.com.au/products/parex-50-tablets
vodcast/episodes/mukti-organics-founder-on-trauma-truth-and-building-a-beauty-brand-with-purpose/mukti-organics-founder-on-trauma-truth-and-building-a-beauty-brand-with-purpose.mdx,61,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Follow Sigourney on Instagram: https://www.instagram.com/sigourneycantelo/
vodcast/episodes/mukti-organics-founder-on-trauma-truth-and-building-a-beauty-brand-with-purpose/mukti-organics-founder-on-trauma-truth-and-building-a-beauty-brand-with-purpose.mdx,63,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,TikTok: https://www.tiktok.com/@sigourneycantelo
vodcast/episodes/mukti-organics-founder-on-trauma-truth-and-building-a-beauty-brand-with-purpose/mukti-organics-founder-on-trauma-truth-and-building-a-beauty-brand-with-purpose.mdx,65,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Follow Beauticate on Instagram: https://www.instagram.com/beauticate/
vodcast/episodes/pip-edwards-from-perfectionism-to-self-compassion/pip-edwards-from-perfectionism-to-self-compassion.mdx,51,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- An illuminator MAC Glaze Mac Strobe Face Glaze from @davidjonesstore https://bit.ly/3y5M0yR
vodcast/episodes/pip-edwards-from-perfectionism-to-self-compassion/pip-edwards-from-perfectionism-to-self-compassion.mdx,53,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- Incense and holder. This is Gentle Habits Byron Bay https://www.gentlehabits.com.au/products/byron-bay  Maison Balzac 
vodcast/episodes/wellness-expert-leah-simmons-on-how-to-transform-your-mind-and-body/wellness-expert-leah-simmons-on-how-to-transform-your-mind-and-body.mdx,45,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,With thanks to our sponsors Qure Skincare we are offering five lucky subscribers a chance to win one of their Qure Q-Rej
interviews/models/ashley-hart-model-and-yogi/ashley-hart-model-and-yogi.mdx,76,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"It’s beautiful, has SPF and is simple and natural. I just worked with Mecca and they’ve got so many amazing things. I lo"
interviews/founders/susan-yara-reinvention-podcast/susan-yara-reinvention-podcast.mdx,50,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"**For more information, and to receive 15% off, use the code BEAUTICATE at https://pulsetto.tech**"
interviews/founders/susan-yara-reinvention-podcast/susan-yara-reinvention-podcast.mdx,56,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Website: https://www.susanyara.com
interviews/founders/lucy-vincent-entrepreneur/lucy-vincent-entrepreneur.mdx,65,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,### I wash my hair once a week [Sans [ceuticals] Nourishing Hair Wash](https://shop.sansceuticals.com/products/nourishin
interviews/creatives/kristin-rawson-interior-designer-editor/kristin-rawson-interior-designer-editor.mdx,66,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"Following the treatment you can only use sulfate-free products, so I use O+M and [Sans [ceuticals]](https://www.beautica"
interviews/creatives/liz-kelsh-makeup-artist/liz-kelsh-makeup-artist.mdx,91,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,### I go to [Renya [Xydis]](http://www.valonz.com.au/) for my hair
